product_id,product_name,classification,acquisition_type,month,year,month_number,units_sold,units_rented,monthly_demand,completed_sale_orders,valid_rental_requests,average_rental_days,views,searches,add_to_cart,favorites,shares,unit_price,rental_daily_price,stock_at_month_start,active_promotion,requires_prescription,previous_month_sales,previous_month_rentals,previous_month_views,previous_month_demand,average_demand_previous_3_months
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-01-01,2024,1,0,0,0,0,0,0.0,0,0,0,0,0,6206.17,280.0,24,True,False,0,0,0,0,0.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-02-01,2024,2,0,0,0,0,0,0.0,0,0,0,0,0,6269.8,280.0,26,False,False,0,0,0,0,0.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-03-01,2024,3,0,0,0,0,0,0.0,1,0,0,0,0,6200.23,280.0,25,False,False,0,0,0,0,0.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-04-01,2024,4,0,0,0,0,0,0.0,1,0,0,0,0,6197.98,280.0,22,False,False,0,0,1,0,0.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-05-01,2024,5,0,0,0,0,0,0.0,2,0,0,0,0,6223.61,280.0,21,False,False,0,0,1,0,0.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-06-01,2024,6,0,2,2,0,2,4.5,1,0,0,0,0,6249.06,280.0,19,True,False,0,0,2,0,0.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-07-01,2024,7,1,0,1,1,0,0.0,2,2,2,0,0,6297.86,280.0,16,False,False,0,2,1,2,0.67
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-08-01,2024,8,1,0,1,1,0,0.0,1,0,0,0,0,6272.93,280.0,16,False,False,1,0,2,1,1.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-09-01,2024,9,2,0,2,1,0,0.0,2,0,0,2,0,6299.2,280.0,14,False,False,1,0,1,1,1.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-10-01,2024,10,3,0,3,3,0,0.0,3,0,0,0,0,6295.05,280.0,19,False,False,2,0,2,2,1.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-11-01,2024,11,4,0,4,2,0,0.0,7,1,0,1,0,6251.61,280.0,17,True,False,3,0,3,3,2.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2024-12-01,2024,12,7,1,8,2,1,6.0,4,1,2,1,1,6259.83,280.0,26,False,False,4,0,7,4,3.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-01-01,2025,1,15,0,15,5,0,0.0,2,1,0,2,1,6288.65,280.0,17,True,False,7,1,4,8,5.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-02-01,2025,2,4,1,5,1,1,10.0,5,3,0,1,1,6215.64,280.0,41,False,False,15,0,2,15,9.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-03-01,2025,3,1,2,3,1,2,6.0,7,3,1,0,1,6199.74,280.0,35,False,False,4,1,5,5,9.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-04-01,2025,4,10,0,10,4,0,0.0,5,1,1,0,0,6165.27,280.0,32,False,False,1,2,7,3,7.67
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-05-01,2025,5,3,0,3,2,0,0.0,8,0,1,1,0,6168.35,280.0,22,False,False,10,0,5,10,6.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-06-01,2025,6,13,1,14,4,1,8.0,5,1,1,1,3,6186.66,280.0,17,False,False,3,0,8,3,5.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-07-01,2025,7,7,0,7,5,0,0.0,8,2,0,0,0,6156.03,280.0,31,False,False,13,1,5,14,9.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-08-01,2025,8,18,2,20,8,2,8.0,4,4,3,2,0,6121.04,280.0,21,False,False,7,0,8,7,8.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-09-01,2025,9,13,1,14,6,1,5.0,4,0,3,1,0,6161.66,280.0,39,False,False,18,2,4,20,13.67
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-10-01,2025,10,14,1,15,6,1,4.0,11,2,0,2,0,6149.88,280.0,26,False,False,13,1,4,14,13.67
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-11-01,2025,11,17,2,19,8,2,6.5,7,1,1,0,2,6123.1,280.0,39,False,False,14,1,11,15,16.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2025-12-01,2025,12,6,1,7,3,1,4.0,16,4,0,0,1,6129.62,280.0,17,True,False,17,2,7,19,16.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-01-01,2026,1,23,3,26,8,3,6.0,13,0,2,0,1,6053.78,280.0,7,False,False,6,1,16,7,13.67
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-02-01,2026,2,16,1,17,7,1,14.0,14,3,2,1,2,6054.59,280.0,21,False,False,23,3,13,26,17.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-03-01,2026,3,16,2,18,11,2,7.5,16,6,2,1,0,6103.79,280.0,35,False,False,16,1,14,17,16.67
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-04-01,2026,4,42,4,46,17,4,5.75,20,2,2,3,0,6092.84,280.0,53,True,False,16,2,16,18,20.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-05-01,2026,5,25,2,27,11,2,5.0,23,7,6,1,0,6069.97,280.0,6,False,False,42,4,20,46,27.0
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-06-01,2026,6,21,0,21,11,0,0.0,19,6,0,2,1,6157.17,280.0,24,False,False,25,2,23,27,30.33
179,Silla de ruedas estándar,Movilidad,MIXTO,2026-07-01,2026,7,7,3,10,3,3,7.0,7,3,1,0,1,6164.07,280.0,42,True,False,21,0,19,21,31.33
180,Silla de ruedas reclinable,Movilidad,MIXTO,2024-01-01,2024,1,0,0,0,0,0,0.0,0,0,0,0,0,10010.81,420.0,37,False,False,0,0,0,0,0.0
180,Silla de ruedas reclinable,Movilidad,MIXTO,2024-02-01,2024,2,0,0,0,0,0,0.0,0,0,0,0,0,9985.88,420.0,35,False,False,0,0,0,0,0.0
180,Silla de ruedas reclinable,Movilidad,MIXTO,2024-03-01,2024,3,0,0,0,0,0,0.0,0,0,0,0,0,10121.45,420.0,33,False,False,0,0,0,0,0.0
180,Silla de ruedas reclinable,Movilidad,MIXTO,2024-04-01,2024,4,2,0,2,1,0,0.0,0,0,0,0,0,10098.26,420.0,31,False,False,0,0,0,0,0.0
